,Entity,Code,Year,Number of executions (Amnesty International),Deaths - Meningitis - Sex: Both - Age: All Ages (Number),Deaths - Neoplasms - Sex: Both - Age: All Ages (Number),"Deaths - Fire, heat, and hot substances - Sex: Both - Age: All Ages (Number)",Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Drowning - Sex: Both - Age: All Ages (Number),Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number),Deaths - Drug use disorders - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - Road injuries - Sex: Both - Age: All Ages (Number),Deaths - Maternal disorders - Sex: Both - Age: All Ages (Number),Deaths - Lower respiratory infections - Sex: Both - Age: All Ages (Number),Deaths - Neonatal disorders - Sex: Both - Age: All Ages (Number),Deaths - Alcohol use disorders - Sex: Both - Age: All Ages (Number),Deaths - Exposure to forces of nature - Sex: Both - Age: All Ages (Number),Deaths - Diarrheal diseases - Sex: Both - Age: All Ages (Number),Deaths - Environmental heat and cold exposure - Sex: Both - Age: All Ages (Number),Deaths - Nutritional deficiencies - Sex: Both - Age: All Ages (Number),Deaths - Self-harm - Sex: Both - Age: All Ages (Number),Deaths - Conflict and terrorism - Sex: Both - Age: All Ages (Number),Deaths - Diabetes mellitus - Sex: Both - Age: All Ages (Number),Deaths - Poisonings - Sex: Both - Age: All Ages (Number),Deaths - Protein-energy malnutrition - Sex: Both - Age: All Ages (Number),Terrorism (deaths),Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number),Deaths - Chronic kidney disease - Sex: Both - Age: All Ages (Number),Deaths - Chronic respiratory diseases - Sex: Both - Age: All Ages (Number),Deaths - Cirrhosis and other chronic liver diseases - Sex: Both - Age: All Ages (Number),Deaths - Digestive diseases - Sex: Both - Age: All Ages (Number),Deaths - Acute hepatitis - Sex: Both - Age: All Ages (Number),Deaths - Alzheimer's disease and other dementias - Sex: Both - Age: All Ages (Number),Deaths - Parkinson's disease - Sex: Both - Age: All Ages (Number)
3518,India,IND,2007,0,62224.0,601219.0,24467.0,68053.0,67595.0,44087.0,163270.0,6092.0,490850.0,190881.0,69323.0,525259.0,692363.0,18619.0,2051.0,849219.0,10811.0,67671.0,195456.0,2269.0,171589.0,5556.0,47214.0,626.0,1812605.0,163299.0,875894.0,230556.0,415019.0,61028.0,53407.0,26269.0
3519,India,IND,2008,0,60843.0,625818.0,24771.0,62028.0,67494.0,44464.0,155231.0,6120.0,492343.0,199985.0,66685.0,521542.0,679052.0,19487.0,1738.0,845116.0,10714.0,63747.0,194152.0,2580.0,179626.0,5573.0,43721.0,824.0,1897232.0,168171.0,913387.0,238390.0,424444.0,60371.0,56488.0,27779.0
3520,India,IND,2009,0,58449.0,634222.0,24568.0,58617.0,65811.0,43077.0,142325.0,6216.0,474490.0,202133.0,63708.0,500924.0,663701.0,19473.0,1773.0,802659.0,10732.0,58734.0,190547.0,2319.0,177064.0,5323.0,39887.0,774.0,1898640.0,165221.0,890411.0,236152.0,415534.0,57677.0,59418.0,27243.0
3521,India,IND,2012,1,53433.0,707505.0,24864.0,42686.0,66282.0,39520.0,101377.0,6023.0,461592.0,218869.0,55026.0,480048.0,614052.0,20471.0,335.0,761001.0,11672.0,51001.0,198142.0,1074.0,207229.0,4772.0,32879.0,264.0,2119847.0,178139.0,958036.0,247920.0,422871.0,53069.0,75330.0,30619.0
3522,India,IND,2013,1,52065.0,739345.0,24815.0,32921.0,63122.0,39234.0,91805.0,6495.0,466722.0,213635.0,53088.0,485209.0,604279.0,20511.0,6562.0,738243.0,12197.0,47070.0,192867.0,624.0,218827.0,4617.0,29696.0,467.0,2200623.0,185457.0,1013921.0,246916.0,425083.0,47702.0,84796.0,34226.0
3523,India,IND,2015,1,45025.0,801613.0,24094.0,50605.0,56352.0,38837.0,66792.0,6986.0,445845.0,201060.0,44105.0,463048.0,559843.0,20753.0,1152.0,674059.0,13571.0,37961.0,180206.0,724.0,235067.0,4298.0,22448.0,387.0,2289079.0,195704.0,1065412.0,247930.0,427616.0,38167.0,98764.0,37450.0
3524,India,IND,1990,,98358.0,376687.0,23032.0,162369.0,88688.0,38720.0,1138.0,3466.0,613999.0,129821.0,106173.0,690913.0,852761.0,12818.0,2097.0,1081098.0,10057.0,268223.0,154133.0,7966.0,78789.0,7257.0,202241.0,907.0,1201775.0,92805.0,601995.0,144247.0,315248.0,61782.0,24195.0,13419.0
3525,India,IND,1991,,97134.0,387105.0,23373.0,159473.0,88014.0,37806.0,1707.0,3559.0,637316.0,135557.0,106715.0,682280.0,837776.0,13067.0,2641.0,1100375.0,10045.0,253431.0,159309.0,4721.0,82661.0,7337.0,188418.0,1113.0,1243951.0,97100.0,621913.0,146547.0,321460.0,63189.0,24862.0,14011.0
3526,India,IND,1992,,94891.0,395789.0,23576.0,151759.0,86073.0,38859.0,3045.0,3614.0,657515.0,138623.0,107929.0,675001.0,832447.0,13166.0,977.0,1119477.0,10528.0,237280.0,163032.0,4840.0,85849.0,7355.0,174878.0,1152.0,1273738.0,100695.0,635103.0,147875.0,325680.0,63765.0,25353.0,14394.0
3527,India,IND,1993,,91783.0,406002.0,23482.0,142187.0,85025.0,39355.0,5703.0,3749.0,625704.0,141224.0,103614.0,656565.0,826406.0,13442.0,11251.0,1081215.0,10170.0,222390.0,164001.0,1896.0,88235.0,7008.0,163748.0,,1289988.0,102753.0,642943.0,152524.0,332205.0,64305.0,26306.0,14824.0
3528,India,IND,1994,,88221.0,417586.0,23307.0,131169.0,83638.0,39070.0,10143.0,3920.0,601109.0,144071.0,100460.0,639401.0,818668.0,13830.0,2234.0,1036372.0,10236.0,208659.0,165973.0,1773.0,90876.0,6884.0,153824.0,389.0,1307746.0,105096.0,648031.0,157804.0,338463.0,64115.0,27469.0,15174.0
3529,India,IND,1995,,86142.0,423498.0,23612.0,123847.0,81222.0,39445.0,16865.0,4004.0,587389.0,145480.0,96995.0,628936.0,813767.0,13922.0,2376.0,1015476.0,10599.0,195629.0,166439.0,1359.0,92749.0,6713.0,144465.0,361.0,1316260.0,106774.0,650000.0,160463.0,340719.0,64007.0,28678.0,15489.0
3530,India,IND,1996,,83642.0,442878.0,23324.0,120014.0,77890.0,39721.0,26565.0,4214.0,584539.0,147942.0,95779.0,617082.0,802117.0,14357.0,2876.0,994967.0,10137.0,181431.0,170096.0,1712.0,99306.0,6609.0,133450.0,569.0,1374290.0,112643.0,672752.0,167233.0,350722.0,62920.0,30275.0,16385.0
3531,India,IND,1997,,82891.0,473691.0,24484.0,118550.0,79082.0,40703.0,39446.0,4606.0,603896.0,157629.0,98641.0,616778.0,797154.0,15207.0,2476.0,997437.0,10497.0,169334.0,181356.0,2018.0,110562.0,6561.0,123413.0,853.0,1483173.0,123291.0,721528.0,178190.0,370746.0,63908.0,32050.0,17949.0
3532,India,IND,1998,,80366.0,486666.0,24595.0,108147.0,79681.0,41945.0,56161.0,4826.0,605183.0,163005.0,98526.0,608792.0,794254.0,15503.0,5976.0,994597.0,13308.0,154443.0,188455.0,1790.0,117335.0,6532.0,112329.0,398.0,1518213.0,128993.0,740139.0,183316.0,377646.0,64045.0,33498.0,18778.0
3533,India,IND,1999,,78524.0,489035.0,25009.0,84608.0,77952.0,42901.0,75568.0,5013.0,602670.0,167469.0,98792.0,592896.0,784542.0,15874.0,11032.0,984335.0,10834.0,138994.0,195957.0,2592.0,119235.0,6488.0,101299.0,469.0,1502751.0,131258.0,731638.0,186860.0,380189.0,63667.0,34704.0,18778.0
3534,India,IND,2000,,77606.0,499674.0,25102.0,70076.0,75883.0,43405.0,95403.0,5124.0,595682.0,169328.0,97810.0,581632.0,772490.0,16103.0,2273.0,969230.0,11081.0,126904.0,198344.0,4534.0,125786.0,6377.0,92298.0,671.0,1529224.0,136509.0,746714.0,191793.0,385059.0,63375.0,36351.0,19608.0
3535,India,IND,2001,,75064.0,515066.0,25095.0,73843.0,74611.0,43580.0,114384.0,5279.0,577245.0,170530.0,94534.0,571124.0,759127.0,16350.0,20783.0,948163.0,10999.0,115737.0,196731.0,6567.0,133798.0,6173.0,83784.0,660.0,1577661.0,141266.0,773353.0,198315.0,392047.0,62903.0,38442.0,20880.0
3536,India,IND,2002,,71130.0,526889.0,24516.0,80138.0,70212.0,44600.0,131675.0,5434.0,556462.0,169552.0,88503.0,560445.0,752624.0,16549.0,881.0,923203.0,12696.0,103615.0,193855.0,3431.0,140069.0,5872.0,75197.0,599.0,1610122.0,144579.0,789003.0,203489.0,394853.0,61566.0,40483.0,21757.0
3537,India,IND,2003,,67440.0,529603.0,23727.0,78316.0,67185.0,43147.0,144856.0,5527.0,533984.0,166483.0,81535.0,546887.0,744301.0,16521.0,641.0,896411.0,12145.0,91452.0,187799.0,2694.0,142991.0,5601.0,66588.0,472.0,1601208.0,145495.0,786436.0,205656.0,391704.0,60580.0,42257.0,21911.0
3538,India,IND,2004,,66330.0,525969.0,23641.0,77383.0,67265.0,43323.0,158574.0,5692.0,501808.0,168375.0,77803.0,532874.0,735923.0,16410.0,17737.0,862040.0,10704.0,81994.0,188096.0,2097.0,141777.0,5646.0,59966.0,334.0,1550655.0,143931.0,759948.0,206188.0,385071.0,61396.0,44336.0,21480.0
3539,India,IND,2005,,66618.0,551872.0,24104.0,71265.0,68974.0,44211.0,164997.0,6348.0,498909.0,175739.0,77150.0,533475.0,723771.0,16942.0,3782.0,854406.0,11106.0,74847.0,193890.0,2442.0,151722.0,5663.0,53944.0,466.0,1621446.0,151602.0,793382.0,215875.0,397227.0,63816.0,47478.0,23093.0
3540,India,IND,2006,,64479.0,576557.0,24405.0,71129.0,69017.0,44173.0,167727.0,6112.0,491758.0,183540.0,74089.0,530760.0,707019.0,17759.0,1384.0,853721.0,10719.0,71995.0,197521.0,2787.0,162694.0,5636.0,51039.0,722.0,1723531.0,157858.0,839788.0,222996.0,406408.0,62500.0,50576.0,24911.0
3541,India,IND,2010,,56658.0,657124.0,25111.0,60236.0,66156.0,42607.0,127159.0,6233.0,459913.0,207140.0,62544.0,485952.0,647679.0,19903.0,994.0,787963.0,11092.0,55050.0,194573.0,1640.0,178992.0,5147.0,36850.0,812.0,1942316.0,166916.0,890151.0,240822.0,419021.0,56134.0,62664.0,27110.0
3542,India,IND,2011,,55021.0,684892.0,25501.0,63142.0,66452.0,42195.0,113454.0,6219.0,453408.0,213755.0,59857.0,480265.0,630475.0,20485.0,826.0,791919.0,11366.0,52412.0,198645.0,1368.0,191360.0,5174.0,34327.0,499.0,2033996.0,173423.0,925689.0,247592.0,426844.0,54483.0,67634.0,28597.0
3543,India,IND,2014,,48398.0,760977.0,24111.0,45334.0,57974.0,38180.0,79395.0,6625.0,462649.0,204750.0,47286.0,474853.0,578836.0,20125.0,892.0,697780.0,11501.0,42065.0,183993.0,1219.0,226879.0,4379.0,25656.0,490.0,2232102.0,188804.0,1047340.0,241427.0,418285.0,41841.0,92895.0,36704.0
3544,India,IND,2016,,40773.0,833843.0,24301.0,34592.0,53423.0,39190.0,57316.0,7306.0,440225.0,199234.0,41836.0,439965.0,510525.0,21469.0,822.0,650963.0,11398.0,33198.0,180170.0,1533.0,242916.0,3908.0,18625.0,467.0,2350151.0,201902.0,1078119.0,253011.0,434870.0,34414.0,105315.0,38673.0
3545,India,IND,2017,,35394.0,860385.0,24319.0,29355.0,51599.0,39452.0,49562.0,7578.0,440926.0,199807.0,40309.0,428527.0,478137.0,22048.0,2082.0,654727.0,11411.0,29994.0,182499.0,1112.0,250293.0,3783.0,16046.0,465.0,2409773.0,207357.0,1103683.0,259348.0,446772.0,32446.0,112741.0,40466.0
3546,India,IND,2018,,35306.0,898606.0,25398.0,34030.0,53720.0,40402.0,46433.0,8083.0,434157.0,208562.0,41791.0,434310.0,459477.0,22687.0,1335.0,645030.0,11293.0,28439.0,191822.0,2061.0,263805.0,3932.0,14607.0,,2508204.0,216209.0,1147884.0,265438.0,457661.0,32021.0,121785.0,43550.0
3547,India,IND,2019,,34736.0,932587.0,25876.0,33372.0,54046.0,40954.0,46298.0,8465.0,422634.0,211975.0,41843.0,433661.0,438004.0,23261.0,2065.0,632345.0,11348.0,26868.0,195336.0,688.0,273089.0,3945.0,13384.0,,2574410.0,222922.0,1168381.0,270037.0,464914.0,30987.0,129011.0,45305.0
